Time,X,Y,Z
0,0,2.06E-12,140
0.1,0,0.122172986,139.9998934
0.2,0,0.244345599,139.9995735
0.3,0,0.366517468,139.9990405
0.4,0,0.488688221,139.9982941
0.5,0,0.610857485,139.9973346
0.6,0,0.733024888,139.9961619
0.7,0,0.855190058,139.9947759
0.8,0,0.977352624,139.9931767
0.9,0,1.099512212,139.9913643
1,0,1.221668451,139.9893387
1.1,0,1.343820968,139.9870998
1.2,0,1.465969392,139.9846478
1.3,0,1.58811335,139.9819827
1.4,0,1.710252471,139.9791043
1.5,0,1.832386382,139.9760127
1.6,0,1.954514711,139.9727081
1.7,0,2.076637086,139.9691902
1.8,0,2.198753135,139.9654592
1.9,0,2.320862487,139.9615151
2,0,2.442964769,139.9573579
2.1,0,2.565059609,139.9529876
2.2,0,2.687146636,139.9484041
2.3,0,2.809225477,139.9436077
2.4,0,2.931295761,139.9385981
2.5,0,3.053357116,139.9333755
2.6,0,3.175409169,139.9279399
2.7,0,3.29745155,139.9222912
2.8,0,3.419483886,139.9164296
2.9,0,3.541505805,139.910355
3,0,3.663516937,139.9040674
3.1,0,3.785516909,139.8975669
3.2,0,3.90750535,139.8908535
3.3,0,4.029481887,139.8839272
3.4,0,4.15144615,139.876788
3.5,0,4.273397767,139.8694359
3.6,0,4.395336367,139.861871
3.7,0,4.517261578,139.8540933
3.8,0,4.639173028,139.8461028
3.9,0,4.761070347,139.8378995
4,0,4.882953162,139.8294835
4.1,0,5.004821103,139.8208548
4.2,0,5.126673799,139.8120134
4.3,0,5.248510878,139.8029593
4.4,0,5.370331969,139.7936927
4.5,0,5.492136701,139.7842134
4.6,0,5.613924703,139.7745215
4.7,0,5.735695604,139.7646171
4.8,0,5.857449033,139.7545001
4.9,0,5.97918462,139.7441707
5,0,6.100901992,139.7336289
5.1,0,6.222600781,139.7228746
5.2,0,6.344280614,139.7119079
5.3,0,6.465941121,139.7007289
5.4,0,6.587581932,139.6893375
5.5,0,6.709202676,139.6777339
5.6,0,6.830802983,139.665918
