F,X,Y,Z
106.9,0,200.9308525,148.9525427
107,0,200.6755576,148.6895584
107.1,0,200.4198041,148.4270201
107.2,0,200.1635927,148.1649285
107.3,0,199.9069243,147.9032845
107.4,0,199.6497997,147.6420889
107.5,0,199.3922195,147.3813424
107.6,0,199.1341847,147.1210459
107.7,0,198.8756959,146.8612002
107.8,0,198.616754,146.601806
107.9,0,198.3573598,146.3428641
108,0,198.0975141,146.0843753
108.1,0,197.8372176,145.8263405
108.2,0,197.5764711,145.5687603
108.3,0,197.3152755,145.3116357
108.4,0,197.0536315,145.0549673
108.5,0,196.7915399,144.7987559
108.6,0,196.5290016,144.5430024
108.7,0,196.2660173,144.2877075
108.8,0,196.0025878,144.0328719
108.9,0,195.7387139,143.7784965
109,0,195.4743965,143.5245821
109.1,0,195.2096363,143.2711294
109.2,0,194.9444342,143.0181391
109.3,0,194.6787909,142.7656121
109.4,0,194.4127073,142.5135491
109.5,0,194.1461841,142.2619509
109.6,0,193.8792222,142.0108182
109.7,0,193.6118225,141.7601519
109.8,0,193.3439856,141.5099527
109.9,0,193.0757125,141.2602213
110,0,192.8070039,141.0109585
110.1,0,192.5378607,140.762165
110.2,0,192.2682836,140.5138417
110.3,0,191.9982736,140.2659893
110.4,0,191.7278314,140.0186085
110.5,0,191.4569578,139.7717001
110.6,0,191.1856538,139.5252648
110.7,0,190.91392,139.2793034
110.8,0,190.6417573,139.0338166
110.9,0,190.3691666,138.7888053
111,0,190.0961488,138.5442701
111.1,0,189.8227045,138.3002117
111.2,0,189.5488347,138.056631
111.3,0,189.2745401,137.8135286
111.4,0,188.9998217,137.5709054
111.5,0,188.7246803,137.328762
111.6,0,188.4491166,137.0870991
111.7,0,188.1731316,136.8459176
111.8,0,187.8967261,136.6052182
111.9,0,187.6199009,136.3650015
112,0,187.3426568,136.1252683
112.1,0,187.0649948,135.8860194
112.2,0,186.7869156,135.6472555
112.3,0,186.5084201,135.4089772
112.4,0,186.2295092,135.1711854
112.5,0,185.9501837,134.9338808
112.6,0,185.6704444,134.697064
112.7,0,185.3902922,134.4607358
112.8,0,185.109728,134.2248969
112.9,0,184.8287526,133.9895481
113,0,184.5473669,133.75469
113.1,0,184.2655717,133.5203234
113.2,0,183.9833678,133.286449
113.3,0,183.7007563,133.0530675
113.4,0,183.4177378,132.8201796
113.5,0,183.1343133,132.587786
113.6,0,182.8504836,132.3558874
113.7,0,182.5662496,132.1244845
113.8,0,182.2816121,131.8935781
113.9,0,181.9965721,131.6631688
114,0,181.7111304,131.4332574
114.1,0,181.4252878,131.2038445
114.2,0,181.1390453,130.9749308
114.3,0,180.8524037,130.7465171
114.4,0,180.5653639,130.518604
114.5,0,180.2779267,130.2911922
114.6,0,179.990093,130.0642824
114.7,0,179.7018638,129.8378754
114.8,0,179.4132398,129.6119717
114.9,0,179.124222,129.3865722
115,0,178.8348113,129.1616774
115.1,0,178.5450084,128.9372881
115.2,0,178.2548144,128.7134049
115.3,0,177.9642301,128.4900285
115.4,0,177.6732563,128.2671597
115.5,0,177.3818941,128.044799
115.6,0,177.0901441,127.8229472
115.7,0,176.7980074,127.6016049
115.8,0,176.5054849,127.3807729
115.9,0,176.2125773,127.1604517
116,0,175.9192857,126.9406421
116.1,0,175.6256109,126.7213447
116.2,0,175.3315537,126.5025602
116.3,0,175.0371152,126.2842893
116.4,0,174.7422962,126.0665326
116.5,0,174.4470975,125.8492907
116.6,0,174.1515202,125.6325644
116.7,0,173.855565,125.4163544
116.8,0,173.559233,125.2006612
116.9,0,173.2625249,124.9854855
117,0,172.9654417,124.770828
117.1,0,172.6679844,124.5566894
117.2,0,172.3701537,124.3430702
117.3,0,172.0719507,124.1299711
117.4,0,171.7733762,123.9173929
117.5,0,171.4744311,123.7053361
117.6,0,171.1751164,123.4938013
117.7,0,170.8754329,123.2827893
117.8,0,170.5753816,123.0723007
117.9,0,170.2749634,122.8623361
118,0,169.9741792,122.6528961
118.1,0,169.6730299,122.4439814
118.2,0,169.3715165,122.2355926
118.3,0,169.0696398,122.0277304
118.4,0,168.7674007,121.8203954
118.5,0,168.4648003,121.6135882
118.6,0,168.1618393,121.4073094
118.7,0,167.8585189,121.2015597
118.8,0,167.5548397,120.9963398
118.9,0,167.2508029,120.7916501
119,0,166.9464093,120.5874915
119.1,0,166.6416598,120.3838644
119.2,0,166.3365553,120.1807695
119.3,0,166.0310969,119.9782074
